drug,adverse_event,case_count_a,drug_total_reports,event_total_reports,PRR,ROR,ROR_95CI_low,ROR_95CI_high,chi_square,p_value,signal_detected
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,18,38,45,2.842,4.5,2.106,9.614,14.924,0.000112,True
SIMVASTATIN,RHABDOMYOLYSIS,13,29,41,2.738,4.15,1.798,9.578,10.633,0.001111,True
AMOXICILLIN,FATIGUE,10,27,34,2.67,3.652,1.496,8.912,7.316,0.006835,True
PREDNISONE,HEPATIC FAILURE,15,35,46,2.281,3.242,1.493,7.038,8.135,0.004341,True
AMOXICILLIN,ANAPHYLACTIC REACTION,10,27,40,2.136,2.804,1.169,6.724,4.499,0.033925,True
METFORMIN,HEADACHE,7,23,33,2.072,2.541,0.953,6.776,2.609,0.106251,False
CLOPIDOGREL,NAUSEA,6,25,27,2.0,2.316,0.831,6.453,1.768,0.183661,False
CLOPIDOGREL,GASTROINTESTINAL HAEMORRHAGE,10,25,45,2.0,2.667,1.104,6.44,3.937,0.047249,False
ATORVASTATIN,FATIGUE,11,39,34,1.974,2.357,1.033,5.381,3.381,0.065955,False
LISINOPRIL,VOMITING,7,33,25,1.968,2.229,0.847,5.863,1.872,0.171294,False
SIMVASTATIN,PRURITUS,5,29,20,1.966,2.167,0.722,6.506,1.147,0.284139,False
OMEPRAZOLE,PRURITUS,6,37,20,1.888,2.06,0.734,5.78,1.194,0.274558,False
AMOXICILLIN,MYALGIA,5,27,22,1.885,2.086,0.699,6.219,1.024,0.311616,False
SIMVASTATIN,VOMITING,6,29,25,1.862,2.087,0.755,5.772,1.296,0.254882,False
WARFARIN,HEADACHE,10,38,33,1.854,2.158,0.926,5.031,2.46,0.116766,False
ATORVASTATIN,DIZZINESS,8,39,27,1.738,1.929,0.774,4.805,1.363,0.2431,False
SIMVASTATIN,MYALGIA,5,29,22,1.734,1.887,0.637,5.591,0.707,0.400454,False
PREDNISONE,RASH,8,35,30,1.714,1.926,0.777,4.774,1.375,0.240938,False
OMEPRAZOLE,ANGIOEDEMA,8,37,29,1.678,1.865,0.753,4.62,1.219,0.269503,False
WARFARIN,VOMITING,7,38,25,1.658,1.806,0.695,4.696,0.91,0.340199,False
IBUPROFEN,NAUSEA,4,19,27,1.657,1.832,0.559,6.001,0.435,0.509359,False
PREDNISONE,NAUSEA,7,35,27,1.65,1.812,0.7,4.692,0.934,0.333727,False
IBUPROFEN,RHABDOMYOLYSIS,6,19,41,1.633,1.925,0.684,5.421,0.919,0.337676,False
WARFARIN,ANGIOEDEMA,8,38,29,1.624,1.79,0.725,4.424,1.038,0.308339,False
CLOPIDOGREL,DIZZINESS,5,25,27,1.591,1.739,0.592,5.105,0.495,0.481503,False
CLOPIDOGREL,MYALGIA,4,25,22,1.556,1.661,0.513,5.381,0.263,0.608299,False
OMEPRAZOLE,DIZZINESS,7,37,27,1.542,1.668,0.647,4.299,0.643,0.422545,False
METFORMIN,RASH,5,23,30,1.539,1.689,0.575,4.96,0.425,0.514545,False
SIMVASTATIN,FATIGUE,7,29,34,1.529,1.697,0.66,4.364,0.705,0.401261,False
PREDNISONE,DYSPNOEA,7,35,29,1.5,1.625,0.633,4.169,0.567,0.451354,False
ATORVASTATIN,HEPATIC FAILURE,12,39,46,1.457,1.66,0.762,3.615,1.151,0.283292,False
AMOXICILLIN,NAUSEA,5,27,27,1.456,1.56,0.536,4.544,0.268,0.604648,False
ATORVASTATIN,NAUSEA,7,39,27,1.445,1.542,0.601,3.958,0.416,0.518925,False
CLOPIDOGREL,RHABDOMYOLYSIS,7,25,41,1.441,1.613,0.624,4.17,0.53,0.466473,False
WARFARIN,PRURITUS,5,38,20,1.421,1.485,0.504,4.374,0.177,0.674066,False
PREDNISONE,MYALGIA,5,35,22,1.387,1.451,0.497,4.237,0.149,0.699053,False
IBUPROFEN,ANAPHYLACTIC REACTION,5,19,40,1.361,1.49,0.503,4.412,0.178,0.673008,False
METFORMIN,ANAPHYLACTIC REACTION,6,23,40,1.358,1.484,0.544,4.047,0.249,0.617985,False
METFORMIN,NAUSEA,4,23,27,1.338,1.41,0.44,4.514,0.066,0.797793,False
AMOXICILLIN,ANGIOEDEMA,5,27,29,1.335,1.411,0.488,4.083,0.118,0.731001,False
LISINOPRIL,DYSPNOEA,6,33,29,1.32,1.391,0.518,3.737,0.15,0.69887,False
ATORVASTATIN,DYSPNOEA,7,39,29,1.314,1.382,0.544,3.515,0.183,0.668425,False
SIMVASTATIN,GASTROINTESTINAL HAEMORRHAGE,8,29,45,1.275,1.38,0.565,3.366,0.22,0.639141,False
PREDNISONE,HEADACHE,7,35,33,1.269,1.337,0.528,3.381,0.132,0.716239,False
CLOPIDOGREL,HEPATIC FAILURE,7,25,46,1.256,1.356,0.528,3.482,0.145,0.703169,False
WARFARIN,MYALGIA,5,38,22,1.254,1.292,0.445,3.754,0.034,0.853745,False
OMEPRAZOLE,RHABDOMYOLYSIS,9,37,41,1.239,1.316,0.565,3.062,0.17,0.679794,False
SIMVASTATIN,DYSPNOEA,5,29,29,1.228,1.276,0.444,3.667,0.028,0.866381,False
IBUPROFEN,GASTROINTESTINAL HAEMORRHAGE,5,19,45,1.191,1.259,0.428,3.706,0.017,0.896615,False
